ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000001.SZ,20180718,8.75,8.85,8.69,8.7,8.72,-0.02,-0.23,525152.77,460697.377
000001.SZ,20180717,8.74,8.75,8.66,8.72,8.73,-0.01,-0.11,375356.33,326396.994
000001.SZ,20180716,8.85,8.9,8.69,8.73,8.88,-0.15,-1.69,689845.58,603427.713
000001.SZ,20180713,8.92,8.94,8.82,8.88,8.88,0.0,0.0,603378.21,535401.175
000001.SZ,20180712,8.6,8.97,8.58,8.88,8.64,0.24,2.78,1140492.31,1008658.828
000001.SZ,20180711,8.76,8.83,8.68,8.78,8.98,-0.2,-2.23,851296.7,744765.824
000001.SZ,20180710,9.02,9.02,8.89,8.98,9.03,-0.05,-0.55,896862.02,803038.965
000001.SZ,20180709,8.69,9.03,8.68,9.03,8.66,0.37,4.27,1409954.6,1255007.609
000001.SZ,20180706,8.61,8.78,8.45,8.66,8.6,0.06,0.7,988282.69,852071.526
000001.SZ,20180705,8.62,8.73,8.55,8.6,8.61,-0.01,-0.12,835768.77,722169.579
000001.SZ,20180704,8.63,8.75,8.61,8.61,8.67,-0.06,-0.69,711153.37,617278.559
000001.SZ,20180703,8.69,8.7,8.45,8.67,8.61,0.06,0.7,1274838.57,1096657.033
000001.SZ,20180702,9.05,9.05,8.55,8.61,9.09,-0.48,-5.28,1315520.13,1158545.868
600000.SH,20180718,9.51,9.64,9.48,9.51,9.44,0.07,0.74,189227.0,180858.003
600000.SH,20180717,9.41,9.48,9.38,9.44,9.41,0.03,0.32,137134.95,129512.091
600000.SH,20180716,9.5,9.54,9.34,9.41,9.49,-0.08,-0.84,144141.19,135697.106
600000.SH,20180713,9.57,9.58,9.46,9.49,9.47,0.02,0.21,150263.39,142708.347
600000.SH,20180712,9.41,9.61,9.39,9.57,9.38,0.19,2.03,197048.37,188206.858
600000.SH,20180711,9.37,9.44,9.32,9.38,9.57,-0.19,-1.99,152039.33,142450.919
600000.SH,20180710,9.61,9.65,9.5,9.57,9.6,-0.03,-0.31,124028.37,118668.133
600000.SH,20180709,9.37,9.63,9.37,9.6,9.37,0.23,2.45,221725.65,212109.327
600000.SH,20180706,9.31,9.43,9.17,9.37,9.26,0.11,1.19,225944.43,210564.106
600000.SH,20180705,9.26,9.35,9.22,9.26,9.31,-0.05,-0.54,164954.38,152978.661
600000.SH,20180704,9.34,9.42,9.28,9.31,9.35,-0.04,-0.43,144647.77,135000.876
600000.SH,20180703,9.29,9.38,9.2,9.35,9.29,0.06,0.65,241235.51,224816.757
600000.SH,20180702,9.55,9.55,9.23,9.29,9.56,-0.27,-2.82,226690.89,212743.905
